Country Name,Indicator Name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Korea, Rep.",High-technology exports (current US$),,,,,,,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..,1.07E+11,1.11E+11,1.03E+11,1.32E+11,1.33E+11,1.31E+11,1.43E+11,1.49E+11,1.47E+11,1.36E+11,1.67E+11,1.93E+11,1.54E+11
"Korea, Rep.",Imports of goods and services (annual % growth),4.672558772,1.513606848,6.884290716,4.320162073,-2.041820951,33.20208742,18.09364493,13.22298382,15.81754225,13.43442213,19.98406948,4.816966485,6.74364467,23.93607764,22.03032199,14.13596955,2.362403202,-24.21877915,24.63546727,22.09273479,-3.462178755,14.89118301,10.47927133,12.08419925,7.752680137,12.47189567,11.38314294,3.263048751,-6.907621961,17.50976276,14.5120282,2.567590928,1.639916119,1.263177947,2.112654337,5.174639537,8.856982109,1.712882232,-1.909360168
"Korea, Rep.",Military expenditure (% of general government expenditure),,,,,,,,,,,,,,,20.30608069,18.51358364,18.16395551,16.41662514,14.52650827,14.41778515,13.45963056,13.65655554,12.17343889,11.70677806,12.56149564,12.28354713,12.07364959,12.50409293,12.79445989,13.22032452,12.96776962,12.70843411,12.57494627,12.80488476,12.64042266,12.62125187,12.33071192,12.24968791,11.7888307
"Korea, Rep.","Official exchange rate (LCU per US$, period average)",681.0283333,731.1675,775.7483333,805.9708333,870.02,881.4558333,822.5641667,731.4633333,671.4558333,707.7658333,733.3291667,780.6708333,802.5383333,803.7716667,771.2541667,804.4575,949.89,1403.183333,1189.439167,1130.3625,1290.79,1251.6025,1191.645833,1146.249167,1024.328333,955.3408333,929.3758333,1100.125833,1277.245833,1156.46,1108.233333,1126.806667,1094.9825,1052.84,1130.9525,1160.7675,1131.000833,1100.163333,1165.3575
"Korea, Rep.",Trade (% of GDP),67.13133534,60.22891915,57.91222398,57.36780025,52.65704978,60.10702446,63.00015284,58.70363787,52.91365956,50.75031338,49.82507915,48.75942564,46.91867823,48.66598979,52.46402196,52.65397293,57.52303775,68.49747206,59.76275376,66.09516011,62.22379722,58.3530394,61.17460128,70.01571487,68.32481102,70.65187353,73.87452529,95.51635243,86.13361937,91.3995965,105.5663136,105.4583277,97.95210495,90.6144419,79.13249439,73.60380947,77.12091781,78.98886551,75.75713897
Oman,"Government expenditure on education, total (% of GDP)",,,,,,3.79282999,3.656260014,3.389889956,2.978240013,2.838920116,2.987940073,3.122580051,3.508219957,3.444489956,3.413259983,3.184520006,3.356800079,4.138329983,4.035930157,3.200239897,4.020319939,4.325069904,3.896990061,4.02835989,3.517210007,3.859339952,,,4.187739849,,,,4.98458004,,,,5.840189934,5.207230091,5.413209915
Oman,Exports of goods and services (% of GDP),64.68711105,58.54602366,53.65159508,50.28061308,49.82783211,39.24652253,48.87793996,40.00620251,,47.23007412,43.06549257,44.71689049,43.05104505,43.00122803,44.03534887,49.81019015,50.03694885,42.22289969,49.05836513,60.33995743,59.42821984,58.48593041,56.97957534,57.02761253,63.16428921,61.53163647,62.68214104,64.95275747,60.49726901,59.09438735,63.91646363,62.72274738,66.03046813,61.43961754,49.65123925,41.31893239,45.71525986,50.62130514,49.49201699
Oman,Exports of goods and services (constant 2015 US$),,,,,,,,,,,,,,,,,,21917835560,22721193355,26384179913,27990775670,27102230339,26056113110,25148836205,30114549923,24642154440,24493117623,27167970819,28476184803,32536827538,33785222203,35686296627,39430285152,39576893062,39080884265,38329628464,38019952175,39089443709,39846405807
Oman,"External debt stocks, total (DOD, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,High-technology exports (current US$),,,,,,,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,167104202,159946807,230872190,138986752,50129889,48362449,73302558,..
